event_id,label
4c346992-8054-4abe-968e-2b4ab789d5fb,ATTACK
c6f46fdd-5474-4754-bdf8-1f31508904e7,NORMAL
ddc8fd96-72ef-49d6-a23f-0ff2a68502cd,NORMAL
f655333a-fe97-4848-9100-b57219647950,NORMAL
55646fd7-79d6-4d53-811b-e15ecb40ddba,ATTACK
de2798fd-4cee-4491-9791-ecaab8f8285e,NORMAL
1eac5855-b6f5-4ca8-8f35-85b7f981e83d,ATTACK
a807e345-d121-4f79-bd85-5611c1a8e8e3,ATTACK
63fc8d36-f57f-4db0-8c56-478318a746ad,ATTACK
19560349-9614-4a1d-9bed-747914f9311c,ATTACK
89622659-08fb-4615-94ef-a0ffb3d82146,NORMAL
98d0d11d-fe1b-4759-b93b-501e28831cd4,NORMAL
ab16f41b-c6f8-4b83-ae88-e840a7291530,ATTACK
e9f2cbb5-bf15-48db-b94e-95eea1eb2aed,NORMAL
6a568669-9c21-4cca-a40c-257cdb4c5af9,NORMAL
c26b1e42-06ed-4de9-8a95-4069006ab8aa,ATTACK
9aed860d-2aed-4ed1-b01e-ea6555d4c7dc,ATTACK
511fc3d9-b9c9-4a74-bdd1-677873d28d97,NORMAL
84cf2c21-0573-4e05-8a53-3b77384b5d7e,NORMAL
90213f6e-0886-4130-84f4-943e5c1da506,NORMAL
ca107739-1416-404e-aa9a-6a06c25636ce,ATTACK
908cde61-4919-4e15-95a3-4ee3550cbf32,ATTACK
8181f111-8447-4d42-a262-25ae75d7716a,ATTACK
5e46616e-ddcb-4459-8587-d8b750298d44,ATTACK
ca09d903-92ff-44da-a5df-92b166926aa2,7`e
39c4b7ef-38f8-41dd-92c1-c1433aacb36a,ATTACK
0aab5d40-b94c-41cf-8cce-4afcbbce982b,ATTACK
8c9fe67e-c7a4-4675-a9b7-be728cc78104,NORMAL
abc46283-cc2f-4460-891d-83409175d11d,ATTACK
f83535cd-cafa-4197-b451-f55a8ad92ec3,NORMAL
17e7a381-4400-4ae0-8e0c-6daa089356b7,NORMAL
4b0884a0-0deb-4b50-81ff-4e3eafc72aaa,ATTACK
13c5b0a2-5c82-4d94-becb-27ffa646b738,ATTACK
7b19717c-788c-4e05-ac44-e7770d0d1875,ATTACK
e2b2d0b7-b9ba-482f-a854-2b26b09d4b4e,NORMAL
df6f1c8c-20b7-4a77-ae91-388f52ade28d,NORMAL
a0882496-ce2f-4627-a3bb-ec1eb9066fda,ATTACK
fb5bb89f-15ff-47bc-902b-e8d4058be5a8,ATTACK
43231d2a-e248-4898-be33-a1f8eee693dd,NORMAL
f9f7f017-1d45-44cf-b533-6d7265143386,ATTACK
3a51a1ae-795d-40e1-921c-a905669b786e,NORMAL
40fdeb0d-ec87-4994-a69c-c54829fbe2a0,NORMAL
903ca342-7763-444c-b655-e5a8d3a5a4cd,xqibF'YD/U
a7b1846e-2336-4de5-a335-0008b1ace4c8,TO^=
08cd9762-69ff-49fa-a669-460dfeaf4220,ATTACK
ec538ee0-1ef4-49bd-9e09-ad9f511e1ab5,ATTACK
12aa7bec-c942-4c9f-975f-a48ea8f1c2ff,NORMAL
12e0cb28-0b57-4b6f-9303-88197b2082a0,NORMAL
f152dde8-60eb-4eb8-a8c5-8a3e0d0488a1,NORMAL
a1fdd279-2dce-43bf-bc2c-7a16c32da518,NORMAL
34fff3a9-e3d3-4eec-b4b3-fbdef68a1212,NORMAL
aa4737c5-07f2-4279-a278-f550cc6ff66d,ATTACK
8d2d5ec7-22d8-4703-9f87-e4e11e0138d1,ATTACK
a970bcef-6740-446c-9cf0-69d735811c69,NORMAL
816ce401-3543-49a7-ae91-96556417bd92,Zp|NEf;~
563e7ac8-fe6c-4187-bd1c-7cf036b30a0c,ATTACK
033e479c-eb59-49c9-99d8-270226fb8782,ATTACK
6e05b0b9-04d2-4e0d-bbba-5b545606af95,NORMAL
e4724caa-4cf4-4990-9c71-2da8a6095f13,NORMAL
f501fcf4-3c23-4792-b495-cb301c541a13,NORMAL
afe8a47f-7ce4-4e47-a614-dd48c79307cf,XM6y2EqeU
717dffff-4b6e-447a-b14c-89d5b5cd0689,ATTACK
4d3d4560-6ed4-4149-8e35-7139f5f4e32a,NORMAL
099ede32-f5f0-4d44-8d7f-90f04fe20090,NORMAL
8c74f1d7-45c5-42dd-9caa-aa3c6f079034,ATTACK
880019f9-8fa4-4acf-b55a-71909e2168e2,NORMAL
ea20617b-4e6c-444a-89ef-20b0c46afa1b,ATTACK
83d4a5ac-cc25-41f4-8c9c-24f807a77a54,NORMAL
d2ef10cc-d3a0-4b9b-ab1e-f4343a574ff3,NORMAL
8049358f-c4ab-4b93-9083-95b9e64911e9,ATTACK
a4ed8e60-f9db-4008-ae27-117674fdb476,NORMAL
4f01973c-3c9d-4810-a731-a757750e6c31,NORMAL
3f747730-5806-4e16-a6f6-613abff8988a,NORMAL
57370a76-1ea1-44d4-afe0-13360f6acb64,NORMAL
36202fc5-7418-4ef9-b9bc-3a072ddbbb6d,NORMAL
d599ff3b-f276-43d0-8cea-700b5fa24cd3,NORMAL
455a321f-9e7f-433d-8ef7-fdf8c94c6e3c,ATTACK
43d22121-4e74-4566-81fe-1f7383c300c8,ATTACK
0ade36e6-b3b3-4ad4-8ca9-e255d6308871,NORMAL
216fd428-f0ee-46b9-8e91-4a5d4709d2cf,n&7_KzDA2#tT
ca702d9f-17b2-43fb-b6ab-28eed73a31aa,ATTACK
31216259-d882-4e60-a328-538f8d00600f,ATTACK
7270f74a-d48b-4e07-b029-7a2bd3a136be,NORMAL
b648d16a-4343-4a4e-94e8-db80a6efac5d,NORMAL
5440d29d-d132-4c62-9a98-3944e03f5fd8,ATTACK
e4074150-9ba9-4175-a25f-577c27271176,ATTACK
f1e19d56-b602-415a-b1d5-ce7e76b28e1b,ATTACK
e437a274-8b77-4f13-bd31-7c30c340d558,NORMAL
f0f178c2-21c1-417a-8da6-97b890c51009,NORMAL
de1c1b67-b147-4fc7-a87c-a8b3fb6a795e,ATTACK
959898ef-f108-4b42-aa88-57760066ec9a,ATTACK
8a69237f-72c5-4be4-91f0-162f6bb39354,ATTACK
18fa8d43-d144-4620-8521-3e99d7a4cbc6,NORMAL
