event_id,loc_name,p_id,longitude,latitude
4c346992-8054-4abe-968e-2b4ab789d5fb,LT,f2970058-2552-4a04-8d22-9f33ef654f5d,24.04142,54.39635
c6f46fdd-5474-4754-bdf8-1f31508904e7,US,\5$kOt5I@P4cKX*V<Ax1@`jYhlt,-73.0515,41.55815
ddc8fd96-72ef-49d6-a23f-0ff2a68502cd,MY,ebaf5f3d-48f1-402a-a29f-6114b2d2876a,9|9zq,4.02219
f655333a-fe97-4848-9100-b57219647950,US,61605098-b0a6-4abd-bd3d-30bced02df60,-77.02303,38.70734
55646fd7-79d6-4d53-811b-e15ecb40ddba,PK,2bd69c5d-c5aa-4be7-90cb-8db57ba89f74,68.88871,25.95533
de2798fd-4cee-4491-9791-ecaab8f8285e,IN,2080f1d1-15c4-4d2e-b43a-7ab2023d68cf,77.5609,11.00599
1eac5855-b6f5-4ca8-8f35-85b7f981e83d,IT,9a5ff5d2-a09d-4513-92ec-c6997b5864f7,9.40531,45.53069
a807e345-d121-4f79-bd85-5611c1a8e8e3,RW,d6ab172b-f1ae-4dfd-acbe-1c4169787678,30.4347,-1.9487
63fc8d36-f57f-4db0-8c56-478318a746ad,IT,"9T`?jtOR.1{R_.X#^o/e9wkV1v]=EMI.,lW7q_o@|,8}Pe]8',dnk7(;ktafy:!#ct95",9.40531,45.53069
19560349-9614-4a1d-9bed-747914f9311c,DE,aefd323e-4e52-421b-a2eb-57f56109e0c0,6.74549,LK8S\7NXl
89622659-08fb-4615-94ef-a0ffb3d82146,IT,9ff93020-c7f8-44ff-a4d6-4223e69044b1,11.412,yxnxm
98d0d11d-fe1b-4759-b93b-501e28831cd4,TH,0747297b-64df-452a-8dba-1aa997973d83,99.95469,13.51825
ab16f41b-c6f8-4b83-ae88-e840a7291530,DE,6da34aa9-8c67-435f-98ca-c08cae972403,7.2278,50.64336
e9f2cbb5-bf15-48db-b94e-95eea1eb2aed,BR,c63c2f1b-fca0-4ba9-b4a3-70cf9d8a6e02,-41.88778,-21.205
6a568669-9c21-4cca-a40c-257cdb4c5af9,RU,e6cff323-2b3d-4c14-b01e-3694b52b0b40,46.10925,43.35071
c26b1e42-06ed-4de9-8a95-4069006ab8aa,US,8767dc47-0efa-4d6d-87a0-47b2ce457f6b,-82.07842,26.91756
9aed860d-2aed-4ed1-b01e-ea6555d4c7dc,RU,nTO4%Q/0'G%SdE$s2s[D,43.83992,55.39485
511fc3d9-b9c9-4a74-bdd1-677873d28d97,MY,16fdd40d-44c8-47fd-bdf0-cc1dca783854,116.10146,5.90702
84cf2c21-0573-4e05-8a53-3b77384b5d7e,US,7bc9e5ef-34f9-42e2-a2f9-bef464c3e1bc,-69.96533,43.91452
90213f6e-0886-4130-84f4-943e5c1da506,PK,751d993b-fa5e-471d-8c34-34f0bbf90191,68.49143,25.80565
ca107739-1416-404e-aa9a-6a06c25636ce,PK,4e89c978-5db7-4352-9573-16396832989c,72.54566,29.69221
908cde61-4919-4e15-95a3-4ee3550cbf32,MX,21753216-11e8-4862-bf8d-d72db8ef4ff2,-89.66123,g>?> 
8181f111-8447-4d42-a262-25ae75d7716a,MG,f3157336-e8e8-4094-902e-10358774709f,48.41667,-17.83333
